epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0324,1.957,3.95378,1.97111,0.60607,0.42512,0.4254,0.17631,2.10422,2.63861,2.21204,0.000237314,0.000237314,0.000237314
2,140.365,1.68319,1.82409,1.679,0.57902,0.46827,0.52698,0.27102,2.10926,2.38311,2.22254,0.000470609,0.000470609,0.000470609
3,204.987,1.59778,1.57995,1.60977,0.48743,0.48998,0.52255,0.25541,2.16767,2.44763,2.24071,0.000699191,0.000699191,0.000699191
4,269.335,1.51435,1.3494,1.5425,0.63311,0.40257,0.50673,0.25201,2.15195,2.48387,2.18582,0.000692794,0.000692794,0.000692794
5,333.77,1.44006,1.22442,1.46928,0.66543,0.73124,0.73664,0.38059,1.90588,1.73303,1.97793,0.000685726,0.000685726,0.000685726
6,399.35,1.36424,1.09007,1.41164,0.81629,0.64694,0.7597,0.40326,1.94899,1.65637,1.98873,0.000678657,0.000678657,0.000678657
7,463.985,1.30769,0.98013,1.36582,0.79026,0.72811,0.8106,0.43174,1.97579,1.54856,2.02607,0.000671588,0.000671588,0.000671588
8,528.8,1.25627,0.92292,1.33688,0.89645,0.73785,0.82246,0.41705,2.01766,1.67675,1.9969,0.00066452,0.00066452,0.00066452
9,593.713,1.2206,0.87464,1.29644,0.85066,0.75172,0.83886,0.45687,1.86919,1.38068,1.83086,0.000657451,0.000657451,0.000657451
10,658.042,1.19384,0.81914,1.27665,0.81485,0.80033,0.86218,0.48141,1.86203,1.2773,1.83428,0.000650383,0.000650383,0.000650383
11,723.178,1.1492,0.77978,1.25296,0.89187,0.77885,0.82543,0.41745,1.92092,1.44087,1.88437,0.000643314,0.000643314,0.000643314
12,787.634,1.11777,0.75017,1.23001,0.88068,0.7665,0.86494,0.44396,1.96916,1.17798,1.89857,0.000636245,0.000636245,0.000636245
13,852.396,1.09079,0.7222,1.21429,0.89111,0.80578,0.87303,0.43732,1.96856,1.20778,1.93681,0.000629177,0.000629177,0.000629177
14,916.834,1.05324,0.68847,1.18635,0.87088,0.81452,0.86903,0.44068,1.99369,1.25197,1.90932,0.000622108,0.000622108,0.000622108
15,982.572,1.04604,0.67605,1.17525,0.84416,0.83956,0.88425,0.47788,1.90805,1.16164,1.83204,0.00061504,0.00061504,0.00061504
16,1047.33,1.01985,0.64927,1.16579,0.81816,0.79999,0.87306,0.47606,1.85288,1.12554,1.82319,0.000607971,0.000607971,0.000607971
17,1111.52,0.99077,0.63777,1.1508,0.89688,0.81622,0.89551,0.45859,1.94545,1.10471,1.86766,0.000600902,0.000600902,0.000600902
18,1175.6,0.98019,0.6148,1.13779,0.84972,0.76452,0.862,0.49463,1.83963,1.25105,1.76018,0.000593834,0.000593834,0.000593834
19,1240.19,0.96435,0.60623,1.12845,0.89227,0.84696,0.88925,0.46834,1.87575,1.09666,1.83719,0.000586765,0.000586765,0.000586765
20,1304.42,0.94624,0.58938,1.12168,0.89648,0.85004,0.89153,0.47744,1.88964,1.02839,1.82589,0.000579697,0.000579697,0.000579697
21,1368.33,0.92832,0.57239,1.11328,0.86015,0.8554,0.91883,0.49569,1.87324,0.92965,1.80789,0.000572628,0.000572628,0.000572628
22,1432.92,0.9143,0.55909,1.10793,0.91743,0.85348,0.90862,0.4945,1.85449,0.96257,1.80023,0.000565559,0.000565559,0.000565559
23,1497.47,0.89021,0.53903,1.08886,0.9047,0.86304,0.90209,0.46394,1.88865,0.91499,1.85942,0.000558491,0.000558491,0.000558491
24,1561.91,0.89107,0.55018,1.09431,0.87361,0.84641,0.8926,0.47737,1.88006,0.94973,1.81903,0.000551422,0.000551422,0.000551422
25,1626.21,0.88655,0.53736,1.08638,0.91883,0.8846,0.91653,0.48715,1.85059,0.85223,1.77316,0.000544354,0.000544354,0.000544354
26,1691,0.85572,0.51268,1.07289,0.89218,0.85198,0.91115,0.49192,1.82991,0.91694,1.78379,0.000537285,0.000537285,0.000537285
27,1755.45,0.84179,0.50282,1.06587,0.91745,0.86272,0.90322,0.49136,1.85221,0.96269,1.79796,0.000530216,0.000530216,0.000530216
28,1819.01,0.83418,0.50003,1.06677,0.87968,0.86942,0.89602,0.4857,1.88331,0.91059,1.85588,0.000523148,0.000523148,0.000523148
29,1882.4,0.82853,0.499,1.05307,0.89213,0.84245,0.89533,0.46995,1.9373,0.9845,1.87124,0.000516079,0.000516079,0.000516079
30,1945.8,0.81576,0.50097,1.05481,0.85917,0.85667,0.90464,0.47258,1.90972,1.04144,1.87808,0.000509011,0.000509011,0.000509011
31,2009.15,0.80486,0.48011,1.04093,0.90022,0.87125,0.9055,0.49321,1.83197,0.90129,1.82527,0.000501942,0.000501942,0.000501942
32,2072.57,0.79381,0.47568,1.0383,0.96093,0.87265,0.91674,0.49815,1.84443,0.86211,1.78698,0.000494873,0.000494873,0.000494873
33,2136.07,0.7777,0.46425,1.03484,0.90986,0.8671,0.90497,0.49271,1.85534,0.88222,1.83602,0.000487805,0.000487805,0.000487805
34,2199.47,0.7766,0.46258,1.02733,0.95068,0.89282,0.90844,0.4868,1.87287,0.87884,1.82084,0.000480736,0.000480736,0.000480736
35,2262.77,0.77691,0.45704,1.03168,0.94649,0.89654,0.92008,0.50165,1.8531,0.80203,1.83771,0.000473668,0.000473668,0.000473668
36,2326.28,0.76246,0.451,1.02627,0.92062,0.88282,0.90216,0.49509,1.87145,0.82061,1.84644,0.000466599,0.000466599,0.000466599
37,2389.54,0.74682,0.44115,1.01591,0.93221,0.8812,0.90983,0.48793,1.91681,0.84899,1.90712,0.00045953,0.00045953,0.00045953
38,2452.99,0.72822,0.43676,1.00608,0.95088,0.88663,0.91821,0.4996,1.89542,0.81099,1.91106,0.000452462,0.000452462,0.000452462
39,2516.87,0.72581,0.43069,1.01013,0.95605,0.86764,0.91925,0.51114,1.84909,0.86388,1.84685,0.000445393,0.000445393,0.000445393
40,2581,0.72081,0.42286,0.99897,0.93366,0.86914,0.89975,0.48476,1.87928,0.88919,1.86374,0.000438325,0.000438325,0.000438325
41,2645.27,0.71838,0.42051,1.00261,0.95202,0.88774,0.92166,0.50591,1.82945,0.81621,1.81436,0.000431256,0.000431256,0.000431256
42,2709.55,0.70666,0.41279,0.99539,0.92959,0.8941,0.90669,0.48953,1.88648,0.88499,1.90159,0.000424187,0.000424187,0.000424187
43,2773.16,0.70339,0.41274,0.99134,0.95127,0.86079,0.92045,0.48822,1.87222,0.89452,1.86069,0.000417119,0.000417119,0.000417119
44,2836.65,0.69961,0.41333,0.99266,0.94779,0.88083,0.91439,0.4861,1.85219,0.81412,1.85045,0.00041005,0.00041005,0.00041005
45,2899.79,0.6843,0.40483,0.98527,0.9545,0.87213,0.91807,0.48868,1.9259,0.83019,1.92459,0.000402982,0.000402982,0.000402982
46,2962.92,0.67811,0.39954,0.98147,0.92847,0.8792,0.91718,0.49849,1.85466,0.84094,1.85393,0.000395913,0.000395913,0.000395913
47,3026.07,0.66815,0.39487,0.97569,0.94238,0.8699,0.91888,0.49495,1.88502,0.86012,1.89239,0.000388844,0.000388844,0.000388844
48,3089.22,0.65738,0.38646,0.9744,0.93615,0.87662,0.92056,0.49932,1.92871,0.83843,1.9467,0.000381776,0.000381776,0.000381776
49,3153.03,0.65509,0.38806,0.97497,0.94099,0.86591,0.90982,0.49294,1.89708,0.81517,1.94563,0.000374707,0.000374707,0.000374707
