epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.1454,2.63565,5.05938,1.8273,0.40209,0.23529,0.21205,0.09206,1.71432,2.68638,1.2512,0.00332917,0.00332917,0.00332917
2,180.654,2.27196,2.43783,1.53099,0.5289,0.3,0.33636,0.14618,1.67953,2.63025,1.24421,0.00659655,0.00659655,0.00659655
3,262.633,2.31778,2.41864,1.56454,0.51837,0.27059,0.2751,0.11158,1.75589,5.27393,1.32909,0.00979792,0.00979792,0.00979792
4,346.966,2.41771,2.51729,1.64818,0.42706,0.22941,0.2187,0.08708,1.90144,2.79104,1.42265,0.009703,0.009703,0.009703
5,429.712,2.38609,2.40522,1.59567,0.53724,0.30588,0.35636,0.14741,1.75939,2.35346,1.27837,0.009604,0.009604,0.009604
6,511.997,2.29645,2.2131,1.5774,0.56941,0.33529,0.36346,0.1634,1.68454,3.65145,1.26193,0.009505,0.009505,0.009505
7,595.12,2.22177,2.14773,1.53908,0.51484,0.46193,0.40167,0.18642,1.60857,3.07448,1.20552,0.009406,0.009406,0.009406
8,676.889,2.15764,1.95673,1.49381,0.57903,0.41765,0.4701,0.21123,1.50724,2.41848,1.19987,0.009307,0.009307,0.009307
9,760.651,2.10615,1.91363,1.47713,0.65719,0.45882,0.4993,0.23659,1.49836,2.30327,1.17067,0.009208,0.009208,0.009208
10,842.629,2.03821,1.79759,1.43184,0.6372,0.49412,0.53481,0.25729,1.47158,2.44063,1.13883,0.009109,0.009109,0.009109
11,926.429,1.99861,1.7004,1.40402,0.66846,0.57647,0.58851,0.29177,1.42098,1.9265,1.13051,0.00901,0.00901,0.00901
12,1009.24,1.97659,1.68206,1.39699,0.66554,0.55882,0.62994,0.32209,1.36038,1.62615,1.07947,0.008911,0.008911,0.008911
13,1091.49,1.92343,1.58893,1.37651,0.76576,0.6,0.67969,0.3481,1.3505,1.52447,1.07229,0.008812,0.008812,0.008812
14,1173.89,1.89345,1.54919,1.34044,0.78962,0.58824,0.68707,0.37714,1.28555,1.51279,1.06608,0.008713,0.008713,0.008713
15,1256.43,1.87165,1.52962,1.3414,0.77895,0.64258,0.71589,0.38131,1.33261,1.50888,1.06174,0.008614,0.008614,0.008614
16,1339.48,1.82684,1.47471,1.32054,0.78859,0.63529,0.73888,0.39226,1.32881,1.56797,1.0645,0.008515,0.008515,0.008515
17,1421.67,1.81089,1.40679,1.30774,0.78231,0.65294,0.72597,0.41829,1.25968,1.46478,1.03609,0.008416,0.008416,0.008416
18,1506.3,1.74882,1.3656,1.27086,0.79131,0.7,0.75051,0.43682,1.26034,1.42035,1.02977,0.008317,0.008317,0.008317
19,1590.19,1.73992,1.33617,1.26548,0.8609,0.72812,0.8112,0.46176,1.20611,1.2691,0.996,0.008218,0.008218,0.008218
20,1671.54,1.67827,1.27487,1.24222,0.86066,0.71765,0.79739,0.4487,1.24945,1.26517,1.01005,0.008119,0.008119,0.008119
21,1752.35,1.68539,1.24224,1.22775,0.74647,0.73529,0.78776,0.47287,1.21494,1.14832,0.99857,0.00802,0.00802,0.00802
22,1834.98,1.63667,1.21888,1.20157,0.86687,0.71765,0.82722,0.50875,1.13166,1.19129,0.9796,0.007921,0.007921,0.007921
23,1915.84,1.62006,1.16197,1.20326,0.80589,0.78235,0.82578,0.48798,1.20952,0.9055,1.00698,0.007822,0.007822,0.007822
24,1997.77,1.57654,1.12544,1.18452,0.82714,0.8,0.8245,0.49824,1.12285,1.10457,0.97215,0.007723,0.007723,0.007723
25,2079.25,1.57332,1.11024,1.17868,0.79298,0.81765,0.86221,0.54378,1.06927,0.97009,0.93329,0.007624,0.007624,0.007624
26,2161.58,1.53728,1.08283,1.16794,0.82188,0.84141,0.85555,0.5394,1.05487,1.08899,0.94603,0.007525,0.007525,0.007525
27,2244.22,1.51825,1.05733,1.14981,0.85795,0.81765,0.87559,0.56148,1.021,0.89989,0.9036,0.007426,0.007426,0.007426
28,2326.53,1.48937,1.02693,1.13973,0.89835,0.83181,0.89369,0.59347,1.00984,0.76788,0.90738,0.007327,0.007327,0.007327
29,2408.82,1.4818,0.99693,1.13275,0.89667,0.81677,0.88684,0.55876,1.06975,0.8825,0.93578,0.007228,0.007228,0.007228
30,2491.18,1.43245,0.95572,1.11499,0.92193,0.83354,0.8852,0.5698,1.04013,0.86446,0.92211,0.007129,0.007129,0.007129
31,2574.11,1.43809,0.96485,1.12036,0.90109,0.85746,0.89842,0.58972,1.0069,0.90472,0.92717,0.00703,0.00703,0.00703
32,2660.38,1.45169,0.9789,1.11562,0.90683,0.85882,0.89911,0.61169,0.97907,0.75069,0.90672,0.006931,0.006931,0.006931
33,2742.87,1.41149,0.92751,1.09776,0.86196,0.88155,0.90838,0.59292,1.01853,0.85009,0.91828,0.006832,0.006832,0.006832
34,2826.58,1.37142,0.90423,1.09059,0.88768,0.88327,0.91526,0.62029,0.91564,0.70157,0.85879,0.006733,0.006733,0.006733
35,2908.07,1.36713,0.88926,1.0761,0.94795,0.82353,0.91837,0.61095,0.93823,0.72593,0.85865,0.006634,0.006634,0.006634
36,2989.26,1.34255,0.86424,1.0645,0.91676,0.907,0.92642,0.63787,0.89883,0.7956,0.82936,0.006535,0.006535,0.006535
37,3069.84,1.33233,0.84667,1.06348,0.90936,0.88522,0.92083,0.62696,0.93312,0.86949,0.8642,0.006436,0.006436,0.006436
38,3150.58,1.30337,0.84279,1.04709,0.92419,0.89412,0.93203,0.64147,0.90933,0.5977,0.86269,0.006337,0.006337,0.006337
39,3232.74,1.30499,0.83654,1.05265,0.92124,0.89444,0.94118,0.65515,0.88013,0.75652,0.84776,0.006238,0.006238,0.006238
40,3315.28,1.28922,0.83856,1.04758,0.9344,0.88824,0.94503,0.66094,0.89292,0.75291,0.8866,0.006139,0.006139,0.006139
41,3398.71,1.27642,0.81731,1.03951,0.93341,0.90702,0.94581,0.683,0.85822,0.64759,0.84832,0.00604,0.00604,0.00604
42,3481.41,1.2538,0.7904,1.03332,0.95001,0.89424,0.94468,0.68069,0.86065,0.73568,0.84629,0.005941,0.005941,0.005941
