epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2755,2.80582,12.0898,1.81034,0.04568,0.09412,0.00863,0.00254,2.46967,6.27612,1.94137,0.000665292,0.000665292,0.000665292
2,107.769,2.87659,3.91335,1.86008,0.0092,0.11765,0.00971,0.00338,2.2829,4.03944,1.74436,0.00131877,0.00131877,0.00131877
3,156.576,2.78934,3.84261,1.8,0.00882,0.1,0.00789,0.00241,2.46832,3.62041,1.75473,0.00195905,0.00195905,0.00195905
4,206.101,2.79629,3.81509,1.79425,0.00555,0.45882,0.04668,0.01317,2.27246,2.9075,1.64201,0.0019406,0.0019406,0.0019406
5,256.492,2.78447,3.67515,1.79747,0.17198,0.05882,0.04902,0.01382,2.25057,3.01562,1.6387,0.0019208,0.0019208,0.0019208
6,305.607,2.63117,3.52424,1.69941,0.25252,0.0517,0.06235,0.01817,2.13974,2.91746,1.56549,0.001901,0.001901,0.001901
7,355.523,2.69379,3.53413,1.77733,0.17118,0.10588,0.06294,0.01908,2.14514,3.09815,1.61111,0.0018812,0.0018812,0.0018812
8,404.827,2.64164,3.34115,1.77144,0.24214,0.07059,0.07996,0.0266,2.21368,2.74043,1.60339,0.0018614,0.0018614,0.0018614
9,454.351,2.59911,3.43765,1.71302,0.23325,0.16471,0.11555,0.04201,2.07231,2.44704,1.48412,0.0018416,0.0018416,0.0018416
10,503.698,2.54098,3.2927,1.66342,0.27841,0.21176,0.14749,0.04363,2.08627,2.98325,1.5884,0.0018218,0.0018218,0.0018218
11,553.31,2.50242,3.21227,1.59053,0.33063,0.2034,0.17128,0.06001,2.02851,2.59068,1.47432,0.001802,0.001802,0.001802
12,605.794,2.48717,3.2292,1.61652,0.25195,0.14118,0.10343,0.03617,2.12264,2.57407,1.56113,0.0017822,0.0017822,0.0017822
13,657.088,2.40792,3.03886,1.59155,0.25888,0.20588,0.13011,0.04092,2.06156,2.65916,1.49772,0.0017624,0.0017624,0.0017624
14,709.147,2.46203,3.06798,1.62964,0.37402,0.18235,0.17899,0.06757,1.99973,2.34416,1.4423,0.0017426,0.0017426,0.0017426
15,760.628,2.45207,3.06637,1.60057,0.2471,0.17059,0.15082,0.04305,2.00486,2.66059,1.46971,0.0017228,0.0017228,0.0017228
16,812.093,2.35805,3.02716,1.59322,0.30892,0.22351,0.16227,0.05668,1.91746,2.26558,1.40143,0.001703,0.001703,0.001703
17,863.577,2.41756,2.94977,1.59107,0.31505,0.09412,0.08381,0.03012,2.19732,3.07119,1.49843,0.0016832,0.0016832,0.0016832
18,915.386,2.26721,2.79254,1.49746,0.3852,0.20588,0.18935,0.07091,1.87652,2.59683,1.38482,0.0016634,0.0016634,0.0016634
19,966.742,2.32404,2.78034,1.53967,0.40581,0.22353,0.20659,0.0681,1.93262,2.29495,1.42148,0.0016436,0.0016436,0.0016436
20,1018.23,2.28033,2.81752,1.53616,0.44108,0.14706,0.19319,0.08951,1.75051,2.39093,1.33326,0.0016238,0.0016238,0.0016238
21,1069.98,2.36085,2.86198,1.51967,0.40571,0.27059,0.23594,0.09291,1.81861,2.15045,1.36212,0.001604,0.001604,0.001604
22,1121.5,2.30615,2.78098,1.52308,0.36029,0.27059,0.22315,0.09491,1.75402,2.09042,1.33424,0.0015842,0.0015842,0.0015842
23,1172.71,2.37301,2.70514,1.5346,0.37169,0.20588,0.20659,0.07719,1.90266,2.38995,1.39914,0.0015644,0.0015644,0.0015644
24,1224.36,2.26592,2.65005,1.48266,0.35587,0.21176,0.19349,0.07555,1.87543,2.22903,1.37362,0.0015446,0.0015446,0.0015446
25,1275.69,2.28416,2.65883,1.5095,0.35994,0.22941,0.19532,0.07904,1.82419,2.2646,1.38231,0.0015248,0.0015248,0.0015248
26,1327.04,2.25551,2.59925,1.48035,0.41181,0.3,0.2525,0.11386,1.88007,1.99837,1.36771,0.001505,0.001505,0.001505
27,1378.4,2.19501,2.53825,1.469,0.33729,0.24118,0.21976,0.07627,1.92959,2.36532,1.40019,0.0014852,0.0014852,0.0014852
28,1430.53,2.21482,2.59121,1.49913,0.46886,0.30588,0.31735,0.13259,1.71343,1.98729,1.27874,0.0014654,0.0014654,0.0014654
29,1482.42,2.16628,2.51509,1.45493,0.44254,0.2802,0.27539,0.11759,1.73304,2.14983,1.31858,0.0014456,0.0014456,0.0014456
30,1533.48,2.19966,2.52066,1.48145,0.3985,0.28824,0.30152,0.1143,1.7805,2.02187,1.2999,0.0014258,0.0014258,0.0014258
31,1583.23,2.10659,2.42129,1.43439,0.44448,0.33529,0.27086,0.09401,1.90588,2.09022,1.39049,0.001406,0.001406,0.001406
32,1632.47,2.22746,2.45854,1.4878,0.46933,0.3,0.29235,0.11772,1.75811,1.9907,1.29726,0.0013862,0.0013862,0.0013862
33,1682.5,2.14509,2.41111,1.44972,0.49623,0.34706,0.33454,0.13685,1.74474,1.87721,1.31572,0.0013664,0.0013664,0.0013664
34,1731.24,2.14713,2.40644,1.44092,0.53405,0.35294,0.35757,0.15294,1.64109,1.80304,1.2645,0.0013466,0.0013466,0.0013466
35,1780.06,2.1105,2.26878,1.43146,0.62386,0.28235,0.35637,0.15125,1.71049,1.84087,1.30268,0.0013268,0.0013268,0.0013268
36,1828.57,2.13453,2.35777,1.43968,0.36416,0.31176,0.26597,0.10476,1.81579,1.9727,1.33224,0.001307,0.001307,0.001307
37,1877.21,2.1461,2.36875,1.44288,0.50725,0.37544,0.36583,0.16178,1.65781,1.9468,1.28295,0.0012872,0.0012872,0.0012872
38,1925.66,2.03003,2.24478,1.3893,0.57135,0.37636,0.40219,0.1695,1.6387,1.76664,1.26484,0.0012674,0.0012674,0.0012674
39,1974.42,2.11885,2.26149,1.4599,0.57178,0.31765,0.34232,0.1476,1.6411,2.03705,1.26624,0.0012476,0.0012476,0.0012476
40,2023.17,2.07947,2.26391,1.41949,0.64694,0.34494,0.40758,0.16576,1.66196,1.81818,1.2827,0.0012278,0.0012278,0.0012278
41,2071.44,2.00806,2.23871,1.37653,0.6518,0.38235,0.42711,0.16413,1.71557,1.87473,1.31063,0.001208,0.001208,0.001208
42,2119.79,2.01427,2.17024,1.40425,0.50489,0.32941,0.36112,0.1572,1.66077,1.72644,1.27962,0.0011882,0.0011882,0.0011882
