                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5269,                 5.6471,                 2.3462,                0.00171,                0.31363,                 0.0259,                0.00722,                 2.1509,                 4.0873,                 2.0515,              0.0002352,              0.0002352,              0.0002352
                      2,                 2.1583,                 4.6057,                 1.9467,                0.77639,                0.01872,                0.04504,                0.01899,                 2.1469,                 3.6848,                 2.2369,             0.00046383,             0.00046383,             0.00046383
                      3,                 2.1193,                 4.1852,                 1.9326,                0.56518,                0.06648,                0.04957,                0.02062,                 2.2385,                 3.1761,                  2.064,             0.00068304,             0.00068304,             0.00068304
                      4,                 2.0592,                  3.736,                 1.8747,                0.60958,                0.12961,                0.10185,                0.03964,                 2.2482,                 3.0402,                 2.1633,             0.00067159,             0.00067159,             0.00067159
                      5,                  2.006,                 3.3178,                 1.8266,                 0.6349,                0.15134,                0.19137,                0.08139,                  2.097,                 2.7122,                 2.0859,             0.00065745,             0.00065745,             0.00065745
                      6,                 1.9556,                 3.0634,                 1.7798,                0.80814,                0.12168,                0.16596,                0.06737,                  2.105,                 2.5539,                 1.9976,             0.00064331,             0.00064331,             0.00064331
                      7,                 1.9046,                 2.7779,                 1.7346,                0.70226,                0.17784,                0.19044,                 0.0901,                 2.0714,                 2.3624,                 1.8585,             0.00062918,             0.00062918,             0.00062918
                      8,                 1.8864,                 2.6594,                 1.7203,                0.48882,                0.25115,                0.33563,                0.10816,                 2.0646,                 2.2839,                 1.9159,             0.00061504,             0.00061504,             0.00061504
                      9,                 1.8269,                 2.3758,                 1.6602,                0.65024,                0.30558,                  0.323,                0.16286,                 1.9048,                 2.0692,                 1.8299,              0.0006009,              0.0006009,              0.0006009
                     10,                 1.7866,                 2.2546,                 1.6159,                0.59727,                0.26391,                0.33112,                0.14583,                 1.9989,                 2.0191,                 1.8876,             0.00058677,             0.00058677,             0.00058677
                     11,                 1.8048,                 2.1334,                 1.6503,                0.88218,                0.25287,                0.42066,                0.19459,                 1.9408,                 2.0004,                 1.8287,             0.00057263,             0.00057263,             0.00057263
                     12,                 1.7343,                 2.0096,                 1.5741,                0.52073,                0.48893,                0.48824,                0.21268,                 1.9574,                 1.9674,                   1.84,             0.00055849,             0.00055849,             0.00055849
                     13,                 1.7283,                 1.9259,                  1.594,                0.54123,                0.55146,                0.51194,                0.21766,                 1.8732,                  1.769,                 1.7706,             0.00054435,             0.00054435,             0.00054435
                     14,                 1.7155,                 1.8616,                 1.5719,                 0.5993,                0.55196,                0.55361,                0.25566,                 1.9465,                 1.8868,                 1.8194,             0.00053022,             0.00053022,             0.00053022
                     15,                 1.6706,                 1.7365,                 1.5219,                0.75302,                0.54616,                0.60762,                0.30266,                 1.8051,                 1.5668,                  1.763,             0.00051608,             0.00051608,             0.00051608
                     16,                 1.6457,                 1.6753,                 1.4955,                0.64487,                  0.476,                0.51476,                0.23473,                 1.9571,                 1.6745,                 1.7706,             0.00050194,             0.00050194,             0.00050194
                     17,                 1.6093,                 1.5988,                 1.4874,                0.83706,                0.47599,                 0.6362,                0.31203,                 1.8048,                 1.5899,                 1.7378,              0.0004878,              0.0004878,              0.0004878
