epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.6421,2.1539,4.51421,2.13131,0.64016,0.37225,0.39281,0.16549,2.22453,2.63019,2.34963,0.000237388,0.000237388,0.000237388
2,149.586,1.88466,2.44172,1.88406,0.66409,0.36004,0.42315,0.1823,2.18087,2.86839,2.30879,0.000465975,0.000465975,0.000465975
3,220.727,1.83559,2.14599,1.83913,0.75732,0.31247,0.41932,0.18765,2.188,2.89574,2.32271,0.000685138,0.000685138,0.000685138
4,291.13,1.75114,1.98321,1.78345,0.60354,0.59783,0.62783,0.32214,2.15184,2.32519,2.26279,0.000671588,0.000671588,0.000671588
5,361.647,1.67403,1.79705,1.70298,0.74851,0.59346,0.67102,0.3395,2.0059,2.10867,2.16782,0.000657451,0.000657451,0.000657451
6,432.382,1.59848,1.62307,1.64688,0.4833,0.64942,0.68702,0.32276,2.01554,1.863,2.18981,0.000643314,0.000643314,0.000643314
7,502.923,1.55443,1.5396,1.60394,0.79676,0.76253,0.80319,0.39043,1.87503,1.55026,2.0447,0.000629177,0.000629177,0.000629177
8,573.616,1.48445,1.44551,1.55001,0.73624,0.79178,0.80493,0.39183,1.98341,1.4698,2.11234,0.00061504,0.00061504,0.00061504
9,644.478,1.43689,1.38599,1.52288,0.7375,0.81232,0.80747,0.40144,1.99667,1.39389,2.16192,0.000600902,0.000600902,0.000600902
10,715.052,1.4088,1.34094,1.49489,0.75062,0.7724,0.82035,0.38858,1.99058,1.46379,2.14208,0.000586765,0.000586765,0.000586765
11,785.63,1.38006,1.2793,1.47879,0.78294,0.80567,0.80189,0.41674,1.98848,1.40507,2.14518,0.000572628,0.000572628,0.000572628
12,856.213,1.35285,1.22836,1.46059,0.75393,0.80321,0.84421,0.41311,1.9113,1.32931,2.06322,0.000558491,0.000558491,0.000558491
13,926.611,1.3134,1.20956,1.41995,0.87939,0.75065,0.84931,0.43761,1.94408,1.2489,2.09804,0.000544354,0.000544354,0.000544354
14,997.28,1.28763,1.15626,1.40135,0.83676,0.8086,0.86375,0.41651,1.95868,1.21425,2.12401,0.000530216,0.000530216,0.000530216
15,1067.84,1.27772,1.14197,1.39338,0.88218,0.7974,0.87549,0.45258,1.97573,1.16058,2.13562,0.000516079,0.000516079,0.000516079
16,1138.4,1.23876,1.11634,1.36832,0.78819,0.81726,0.83833,0.42018,1.91583,1.14766,2.09908,0.000501942,0.000501942,0.000501942
17,1208.82,1.20796,1.09203,1.34187,0.80254,0.82318,0.83543,0.42276,1.90825,1.17017,2.09851,0.000487805,0.000487805,0.000487805
18,1279.22,1.19353,1.08086,1.34031,0.87386,0.85491,0.87588,0.4505,1.84757,1.10763,2.02706,0.000473668,0.000473668,0.000473668
19,1349.59,1.17484,1.04977,1.32309,0.8111,0.84492,0.84072,0.43503,1.92143,1.09381,2.09845,0.00045953,0.00045953,0.00045953
20,1420.05,1.15446,1.03827,1.31674,0.84028,0.81967,0.86728,0.44758,1.96158,1.02648,2.18275,0.000445393,0.000445393,0.000445393
21,1490.74,1.14056,1.0333,1.30128,0.81107,0.82072,0.84965,0.43138,1.86431,0.99171,2.09401,0.000431256,0.000431256,0.000431256
22,1827.42,1.11757,1.01062,1.29005,0.81132,0.87618,0.87015,0.4676,1.90968,1.0515,2.12981,0.000417119,0.000417119,0.000417119
23,1898.6,1.11393,0.99319,1.28211,0.79072,0.84449,0.86709,0.44662,1.89001,0.94458,2.14142,0.000402982,0.000402982,0.000402982
24,1969.07,1.07455,0.98259,1.2601,0.83496,0.84928,0.88034,0.46441,1.91797,0.96644,2.16908,0.000388844,0.000388844,0.000388844
25,2040.76,1.06345,0.95895,1.24894,0.87745,0.81109,0.85542,0.46135,1.88247,1.02951,2.12775,0.000374707,0.000374707,0.000374707
26,2111.1,1.0461,0.94682,1.24661,0.79706,0.85725,0.85786,0.45607,1.88763,0.95836,2.11879,0.00036057,0.00036057,0.00036057
27,2182.25,1.02727,0.93066,1.22879,0.86204,0.78685,0.87549,0.46304,1.89227,0.96443,2.12074,0.000346433,0.000346433,0.000346433
28,2252.8,1.01344,0.91594,1.21497,0.91195,0.84233,0.89055,0.47518,1.91127,0.97996,2.14463,0.000332296,0.000332296,0.000332296
29,2324.2,1.00474,0.92455,1.20889,0.81334,0.83093,0.8541,0.43627,1.9565,0.92675,2.20685,0.000318158,0.000318158,0.000318158
30,2395.14,0.99616,0.90566,1.20336,0.86694,0.85646,0.87983,0.44278,1.94791,0.91499,2.21349,0.000304021,0.000304021,0.000304021
31,2465.29,0.98507,0.89006,1.19767,0.89786,0.7969,0.872,0.4389,1.94422,0.92291,2.23001,0.000289884,0.000289884,0.000289884
32,2535.21,0.9579,0.87852,1.1794,0.88379,0.86012,0.90672,0.47722,1.91237,0.87928,2.20163,0.000275747,0.000275747,0.000275747
33,2604.95,0.94548,0.87086,1.16863,0.95838,0.81377,0.89912,0.46667,1.96387,0.89165,2.23908,0.00026161,0.00026161,0.00026161
34,2674.69,0.93638,0.87025,1.16494,0.89072,0.82766,0.86999,0.44649,1.97284,0.88133,2.28627,0.000247472,0.000247472,0.000247472
35,2744.53,0.92677,0.86408,1.1576,0.90735,0.83779,0.88126,0.45472,1.92548,0.8911,2.21005,0.000233335,0.000233335,0.000233335
36,2814.33,0.91194,0.84253,1.15461,0.90289,0.82332,0.85961,0.44692,1.89947,0.88789,2.17881,0.000219198,0.000219198,0.000219198
37,2884.14,0.90707,0.8414,1.14672,0.88952,0.84592,0.88354,0.45716,1.93068,0.85082,2.24249,0.000205061,0.000205061,0.000205061
38,2953.84,0.89346,0.84075,1.13896,0.87518,0.84141,0.88178,0.45859,1.9182,0.86003,2.24126,0.000190924,0.000190924,0.000190924
