epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.749,0.45568,0.82286,1,0.33679,0.000549352,0.000549352,0.000549352
2,17.5296,0.43104,0.80286,1,0.63399,0.00108314,0.00108314,0.00108314
3,23.5667,0.46198,0.74571,1,0.4906,0.00159492,0.00159492,0.00159492
4,29.6406,0.48509,0.77143,1,0.46118,0.00156798,0.00156798,0.00156798
5,35.6585,0.45025,0.74857,1,0.53101,0.00153497,0.00153497,0.00153497
6,41.6356,0.42562,0.80857,1,0.35634,0.00150197,0.00150197,0.00150197
7,47.7088,0.41092,0.78,1,0.41602,0.00146896,0.00146896,0.00146896
8,53.6942,0.37941,0.77429,1,0.51192,0.00143595,0.00143595,0.00143595
9,59.7323,0.38171,0.81429,1,0.37048,0.00140295,0.00140295,0.00140295
10,65.8689,0.36937,0.74571,1,0.45129,0.00136994,0.00136994,0.00136994
11,71.8057,0.38258,0.79429,1,0.36214,0.00133693,0.00133693,0.00133693
12,77.8199,0.36156,0.77143,1,0.38322,0.00130393,0.00130393,0.00130393
13,83.8796,0.36055,0.78857,1,0.37712,0.00127092,0.00127092,0.00127092
14,89.9453,0.36399,0.81714,1,0.32414,0.00123791,0.00123791,0.00123791
15,96.2178,0.3354,0.84571,1,0.32172,0.00120491,0.00120491,0.00120491
16,102.38,0.34514,0.80286,1,0.3655,0.0011719,0.0011719,0.0011719
17,108.387,0.32424,0.86571,1,0.28682,0.00113889,0.00113889,0.00113889
18,114.471,0.32437,0.82,1,0.34245,0.00110589,0.00110589,0.00110589
19,120.436,0.3176,0.86857,1,0.28878,0.00107288,0.00107288,0.00107288
20,126.526,0.33941,0.78571,1,0.39266,0.00103987,0.00103987,0.00103987
21,132.488,0.31626,0.82571,1,0.36344,0.00100687,0.00100687,0.00100687
22,138.515,0.3297,0.81143,1,0.33857,0.000973861,0.000973861,0.000973861
23,144.462,0.30807,0.81714,1,0.32863,0.000940855,0.000940855,0.000940855
24,150.535,0.3049,0.87143,1,0.33132,0.000907848,0.000907848,0.000907848
25,156.687,0.30966,0.85143,1,0.28408,0.000874842,0.000874842,0.000874842
26,162.69,0.30214,0.87429,1,0.27378,0.000841835,0.000841835,0.000841835
27,168.667,0.29029,0.89429,1,0.26029,0.000808828,0.000808828,0.000808828
28,174.922,0.28708,0.87714,1,0.28493,0.000775822,0.000775822,0.000775822
29,180.865,0.28888,0.86571,1,0.28823,0.000742815,0.000742815,0.000742815
30,186.905,0.28126,0.88857,1,0.29185,0.000709809,0.000709809,0.000709809
31,192.982,0.27898,0.86571,1,0.30219,0.000676802,0.000676802,0.000676802
32,198.95,0.27549,0.86857,1,0.27909,0.000643795,0.000643795,0.000643795
33,205.025,0.29005,0.87429,1,0.29142,0.000610789,0.000610789,0.000610789
34,211.038,0.2674,0.88,1,0.2713,0.000577782,0.000577782,0.000577782
35,217.016,0.27164,0.89714,1,0.28172,0.000544776,0.000544776,0.000544776
36,223.217,0.25685,0.86,1,0.31032,0.000511769,0.000511769,0.000511769
37,229.148,0.25993,0.89143,1,0.27767,0.000478762,0.000478762,0.000478762
38,235.108,0.26382,0.90571,1,0.24468,0.000445756,0.000445756,0.000445756
39,241.149,0.24522,0.85714,1,0.29858,0.000412749,0.000412749,0.000412749
40,247.147,0.24288,0.9,1,0.26721,0.000379743,0.000379743,0.000379743
41,279.422,0.23425,0.88571,1,0.27079,0.000346736,0.000346736,0.000346736
42,285.916,0.23609,0.89714,1,0.23378,0.000313729,0.000313729,0.000313729
43,292.36,0.22447,0.88286,1,0.29156,0.000280723,0.000280723,0.000280723
44,298.834,0.2191,0.87429,1,0.27291,0.000247716,0.000247716,0.000247716
45,305.306,0.22853,0.88571,1,0.26117,0.00021471,0.00021471,0.00021471
46,311.737,0.22501,0.89143,1,0.23936,0.000181703,0.000181703,0.000181703
47,318.251,0.21465,0.89429,1,0.25523,0.000148696,0.000148696,0.000148696
48,324.763,0.20187,0.89429,1,0.25555,0.00011569,0.00011569,0.00011569
49,331.254,0.20752,0.88286,1,0.2746,8.26832e-05,8.26832e-05,8.26832e-05
50,337.737,0.19694,0.89143,1,0.26457,4.96766e-05,4.96766e-05,4.96766e-05
