epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.278,0.97925,1.73343,1.56756,0.56795,0.44006,0.4127,0.38376,1.41526,1.9676,1.528,0.00332384,0.00332384,0.00332384
2,209.58,0.85377,1.29444,1.37292,0.88486,0.39714,0.44246,0.34761,1.41805,1.91399,1.47471,0.00663834,0.00663834,0.00663834
3,302.174,0.9234,1.28363,1.39366,0.50474,0.50559,0.50591,0.39336,1.39357,1.66267,1.50879,0.00993399,0.00993399,0.00993399
4,393.975,1.00167,1.27936,1.47044,0.47411,0.56458,0.52362,0.43441,1.276,1.78441,1.36966,0.00991514,0.00991514,0.00991514
5,484.906,0.93887,1.22072,1.40852,0.54121,0.49964,0.46692,0.42745,1.32821,2.05694,1.39997,0.00988686,0.00988686,0.00988686
6,575.859,0.9056,1.1991,1.37973,0.4987,0.52419,0.48343,0.41318,1.38397,1.74413,1.3836,0.00985857,0.00985857,0.00985857
7,666.515,0.88568,1.17095,1.36525,0.46725,0.59714,0.5676,0.46559,1.31687,1.89797,1.47926,0.00983029,0.00983029,0.00983029
8,759.463,0.8453,1.10795,1.33732,0.58874,0.57694,0.55679,0.43757,1.29857,1.51135,1.38086,0.009802,0.009802,0.009802
9,851.218,0.81919,1.07597,1.31902,0.57255,0.64831,0.59004,0.48559,1.18668,1.33432,1.27331,0.00977371,0.00977371,0.00977371
10,942.896,0.81651,1.07353,1.31308,0.63642,0.59302,0.59406,0.50109,1.1788,1.32789,1.28095,0.00974543,0.00974543,0.00974543
11,1033.77,0.79401,1.02073,1.28982,0.61975,0.65116,0.62112,0.5067,1.16537,1.32564,1.25661,0.00971714,0.00971714,0.00971714
12,1124.64,0.78256,1.0223,1.28791,0.65286,0.64236,0.6374,0.49744,1.18595,1.19754,1.28232,0.00968886,0.00968886,0.00968886
13,1215.32,0.75316,0.98997,1.27494,0.67224,0.68372,0.66712,0.52997,1.18328,1.18704,1.28832,0.00966057,0.00966057,0.00966057
14,1306.23,0.75816,0.97675,1.27128,0.55579,0.58033,0.54843,0.46516,1.30299,1.36935,1.39206,0.00963229,0.00963229,0.00963229
15,1396.9,0.7563,0.96643,1.26415,0.57369,0.67907,0.63543,0.50973,1.09321,1.24624,1.19627,0.009604,0.009604,0.009604
16,1487.53,0.73256,0.95122,1.24892,0.70305,0.68012,0.67644,0.52901,1.11039,1.12085,1.20789,0.00957571,0.00957571,0.00957571
17,1578.27,0.73308,0.94232,1.24338,0.69841,0.59534,0.64138,0.52769,1.11449,1.1895,1.22468,0.00954743,0.00954743,0.00954743
18,1669.34,0.7278,0.92803,1.24687,0.67172,0.69947,0.68095,0.54302,1.08346,1.09389,1.14878,0.00951914,0.00951914,0.00951914
19,1761.41,0.71967,0.92149,1.24968,0.64573,0.65263,0.64012,0.52098,1.19791,1.25864,1.3215,0.00949086,0.00949086,0.00949086
20,1853.6,0.69724,0.89081,1.21917,0.67449,0.693,0.69603,0.54043,1.24553,1.22302,1.32534,0.00946257,0.00946257,0.00946257
21,1944.68,0.70179,0.88946,1.23362,0.75195,0.66836,0.71057,0.54577,1.07415,1.0695,1.18658,0.00943429,0.00943429,0.00943429
22,2035.26,0.70245,0.88157,1.22273,0.66562,0.69482,0.69558,0.5498,1.13561,1.05987,1.21656,0.009406,0.009406,0.009406
23,2125.47,0.68313,0.8469,1.21058,0.73804,0.69302,0.7124,0.53599,1.17632,1.09205,1.24487,0.00937771,0.00937771,0.00937771
24,2215.78,0.69305,0.85586,1.21046,0.69908,0.69236,0.70821,0.55925,1.13922,1.04697,1.18561,0.00934943,0.00934943,0.00934943
25,2306.21,0.68066,0.862,1.20252,0.65053,0.69302,0.70086,0.54148,1.14787,1.20869,1.27989,0.00932114,0.00932114,0.00932114
