epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8615,3.05277,4.64776,2.32295,0.00083,0.0186,0.00026,0.0001,nan,nan,nan,0.000552509,0.000552509,0.000552509
2,112.051,3.03574,3.6538,2.31974,0.0253,0.00465,0.00123,0.00029,3.59825,17.6253,3.32284,0.00110086,0.00110086,0.00110086
3,160.035,3.03929,3.67874,2.34912,0.00515,0.12558,0.00214,0.00057,3.43315,4.31577,2.46962,0.00164188,0.00164188,0.00164188
4,207.84,2.9943,3.62333,2.33691,0.08741,0.08372,0.02488,0.0053,2.93705,9.78155,2.29914,0.00163399,0.00163399,0.00163399
5,255.031,2.9425,3.42932,2.28072,0.01566,0.02791,0.00458,0.00161,3.09273,3.90168,2.25019,0.00162299,0.00162299,0.00162299
6,302.66,2.87343,3.36385,2.23539,0.07626,0.06512,0.02402,0.00833,2.82711,4.14996,2.09972,0.00161199,0.00161199,0.00161199
7,350.464,2.82539,3.23237,2.17603,0.21457,0.11628,0.06643,0.02223,2.83114,3.11103,2.06241,0.00160099,0.00160099,0.00160099
8,397.912,2.76215,3.09863,2.12593,0.21386,0.08857,0.06248,0.01597,2.95952,3.30322,2.01581,0.00158998,0.00158998,0.00158998
9,445.133,2.70003,3.03684,2.03605,0.27314,0.17674,0.13926,0.04478,2.61798,3.22426,1.95186,0.00157898,0.00157898,0.00157898
10,492.92,2.68829,3.00473,2.09826,0.25864,0.13488,0.11163,0.03707,2.861,3.18522,1.99599,0.00156798,0.00156798,0.00156798
11,540.552,2.64149,2.96627,2.06725,0.27327,0.13488,0.12826,0.04073,2.65941,3.09954,1.94274,0.00155698,0.00155698,0.00155698
12,588.28,2.63102,2.872,2.05398,0.24008,0.19535,0.13401,0.04297,2.5102,3.07574,1.82251,0.00154598,0.00154598,0.00154598
13,636.344,2.60952,2.8623,2.03321,0.3089,0.2186,0.16124,0.04848,2.70093,2.86669,2.02037,0.00153497,0.00153497,0.00153497
14,684.117,2.55578,2.74932,1.96664,0.37189,0.11628,0.1138,0.03564,2.91371,3.44048,1.97361,0.00152397,0.00152397,0.00152397
15,732.066,2.55818,2.74177,1.97643,0.35909,0.29302,0.22285,0.07059,2.54462,2.97146,1.88842,0.00151297,0.00151297,0.00151297
16,779.763,2.53418,2.71662,1.97351,0.37274,0.1907,0.18988,0.05884,2.47669,2.85158,1.82947,0.00150197,0.00150197,0.00150197
