epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.714,2.89495,5.85314,2.55242,0.45267,0.05004,0.09004,0.03209,1.93358,2.62703,1.64249,0.00332384,0.00332384,0.00332384
2,206.043,2.50687,3.5249,2.18148,0.19616,0.22791,0.10709,0.03098,2.04603,4.16745,1.67302,0.0066352,0.0066352,0.0066352
3,300.386,2.6141,3.37396,2.20231,0.18065,0.06977,0.04563,0.00926,2.2281,6.12909,1.79938,0.00992457,0.00992457,0.00992457
4,392.837,2.72472,3.36853,2.26493,0.10041,0.06512,0.03067,0.01098,2.25817,5.60511,1.7929,0.009901,0.009901,0.009901
5,485.805,2.71064,3.27205,2.26067,0.16065,0.11163,0.07011,0.01839,2.18823,4.90623,1.82053,0.009868,0.009868,0.009868
6,577.036,2.69018,3.22456,2.29967,0.24786,0.17209,0.09989,0.02959,2.09535,4.32911,1.70947,0.009835,0.009835,0.009835
7,669.455,2.57476,3.16801,2.21719,0.12811,0.09302,0.04283,0.01136,2.24001,3.46652,1.77324,0.009802,0.009802,0.009802
8,761.097,2.55008,3.05875,2.17071,0.23507,0.17674,0.10944,0.03523,2.01095,3.34014,1.62032,0.009769,0.009769,0.009769
9,853.178,2.50286,2.98394,2.20815,0.20501,0.14419,0.11452,0.0305,2.11937,3.10161,1.70217,0.009736,0.009736,0.009736
10,943.862,2.45997,2.86694,2.14752,0.20549,0.17209,0.11843,0.03545,2.03067,2.73542,1.63459,0.009703,0.009703,0.009703
11,1035.52,2.48184,2.82261,2.10996,0.25396,0.20742,0.16571,0.05505,1.82588,3.48917,1.51782,0.00967,0.00967,0.00967
12,1127.2,2.47945,2.78838,2.1264,0.25532,0.22167,0.13716,0.04029,1.99894,3.01216,1.6156,0.009637,0.009637,0.009637
13,1218.61,2.38322,2.75923,2.05306,0.33763,0.16744,0.15037,0.05239,1.98261,2.7702,1.59959,0.009604,0.009604,0.009604
14,1309.27,2.33406,2.69594,2.04451,0.4045,0.24651,0.22369,0.07014,1.88818,2.28158,1.54928,0.009571,0.009571,0.009571
15,1399.6,2.34796,2.55839,2.0505,0.29168,0.27907,0.19297,0.06634,1.8806,2.65625,1.53236,0.009538,0.009538,0.009538
16,1489.86,2.31485,2.52048,2.03062,0.37874,0.22791,0.22389,0.08073,1.88899,2.57965,1.52422,0.009505,0.009505,0.009505
17,1580.03,2.34242,2.51541,2.05927,0.39348,0.23256,0.23066,0.07122,1.90551,2.27914,1.55177,0.009472,0.009472,0.009472
18,1670.42,2.2729,2.45123,1.99632,0.39718,0.24651,0.24627,0.07771,1.93485,2.41277,1.5899,0.009439,0.009439,0.009439
19,1762.28,2.29699,2.44969,2.00932,0.37648,0.30233,0.2509,0.10012,1.87521,2.50533,1.54649,0.009406,0.009406,0.009406
20,1853.31,2.28853,2.43604,2.03984,0.45645,0.29302,0.2902,0.10562,1.83941,2.14532,1.52081,0.009373,0.009373,0.009373
21,1944.62,2.24528,2.33972,1.97524,0.56657,0.35263,0.33093,0.10255,1.86428,2.12043,1.52155,0.00934,0.00934,0.00934
22,2035.25,2.21145,2.35713,1.96346,0.53643,0.33953,0.32262,0.11658,1.86282,2.4813,1.51636,0.009307,0.009307,0.009307
23,2126.55,2.21596,2.27411,1.92465,0.43148,0.31771,0.31122,0.1012,1.8889,2.10956,1.49424,0.009274,0.009274,0.009274
24,2217.61,2.22414,2.30138,1.96489,0.49559,0.38387,0.35932,0.12345,1.83097,2.38769,1.50114,0.009241,0.009241,0.009241
25,2308.16,2.16791,2.24304,1.92541,0.4483,0.35814,0.34594,0.1155,1.8054,2.26581,1.47018,0.009208,0.009208,0.009208
26,2399.38,2.14464,2.18846,1.91314,0.45763,0.34884,0.36061,0.13248,1.73236,2.28169,1.4596,0.009175,0.009175,0.009175
27,2492.64,2.17992,2.23775,1.91302,0.58909,0.36279,0.37728,0.12442,1.80506,2.05444,1.50091,0.009142,0.009142,0.009142
28,2585.71,2.16201,2.10224,1.90501,0.45498,0.3814,0.41465,0.14222,1.77877,2.05847,1.47186,0.009109,0.009109,0.009109
29,2677.85,2.1016,2.13492,1.866,0.48732,0.33488,0.37973,0.13026,1.81178,2.1745,1.5098,0.009076,0.009076,0.009076
30,2769.17,2.14963,2.1399,1.88957,0.52382,0.3735,0.34937,0.10769,1.85445,2.09708,1.53051,0.009043,0.009043,0.009043
31,2861.39,2.12249,2.14649,1.88156,0.52768,0.40465,0.43515,0.15057,1.75735,2.09414,1.44122,0.00901,0.00901,0.00901
32,2953.31,2.0998,2.0225,1.84995,0.64642,0.3814,0.45296,0.15401,1.77862,2.02522,1.45906,0.008977,0.008977,0.008977
33,3047.26,2.09976,2.03942,1.87743,0.67745,0.3814,0.48298,0.1676,1.67957,2.11613,1.40945,0.008944,0.008944,0.008944
34,3141.06,2.07674,2.06455,1.85829,0.48988,0.3907,0.4105,0.14165,1.82173,2.16659,1.51875,0.008911,0.008911,0.008911
35,3234.73,2.09992,1.98873,1.8788,0.66453,0.3814,0.43171,0.15528,1.69077,2.26527,1.4148,0.008878,0.008878,0.008878
36,3328.5,2.10054,1.97069,1.85528,0.51824,0.45531,0.46983,0.17186,1.75954,1.83462,1.42286,0.008845,0.008845,0.008845
37,3421.83,2.0665,1.96775,1.83298,0.66493,0.44651,0.51119,0.17253,1.79578,2.25245,1.47859,0.008812,0.008812,0.008812
38,3515.21,2.06973,1.95802,1.825,0.58706,0.45116,0.49018,0.17373,1.7909,1.99041,1.47187,0.008779,0.008779,0.008779
